instance_id,trip_key,train_number,departure_date,station_from,station_to,match_type,first_seen_kyiv,last_seen_kyiv,n_seen,last_delay_min,max_delay_min,min_delay_min,last_status,last_reliability,last_reason,n_stops,passed_count,last_stop_passed,finished,finished_at_kyiv,final_delay_min,instance_reason,after_monitoring_gap
55/56|Київ-Пас.|Рахів|@20260924-0110,55/56|Київ-Пас.|Рахів|,55/56,,Київ-Пас.,Рахів,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,42,42,42,В дорозі,Висока,,0,0,0,0,,,first_seen,0
141/142|Чернігів|Ясіня|@20260924-0110,141/142|Чернігів|Ясіня|,141/142,,Чернігів,Ясіня,,2026-09-24 01:10:25,2026-09-24 01:10:25,1,42,42,42,В дорозі,Висока,,0,0,0,0,,,first_seen,0
137/138|Київ-Пас.|Ясіня|@20260924-0110,137/138|Київ-Пас.|Ясіня|,137/138,,Київ-Пас.,Ясіня,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,42,42,42,В дорозі,Висока,,0,0,0,0,,,first_seen,0
97/98|Київ-Пас.|Ковель-Пас.|@20260924-0110,97/98|Київ-Пас.|Ковель-Пас.|,97/98,,Київ-Пас.,Ковель-Пас.,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,41,41,41,В дорозі,Висока,,0,0,0,0,,,first_seen,0
75/76|Кривий Ріг-Головний|Київ-Пас.|@20260924-0110,75/76|Кривий Ріг-Головний|Київ-Пас.|,75/76,,Кривий Ріг-Головний,Київ-Пас.,both,2026-09-24 01:10:25,2026-09-24 01:10:25,1,38,38,38,В дорозі,Висока,,7,3,0,0,,,first_seen,0
129/130|Мукачево|Полтава-Півд.|@20260924-0110,129/130|Мукачево|Полтава-Півд.|,129/130,,Мукачево,Полтава-Півд.,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,37,37,37,В дорозі,Висока,,0,0,0,0,,,first_seen,0
131/132|Мукачево|Кременчук-Пас.|@20260924-0110,131/132|Мукачево|Кременчук-Пас.|,131/132,,Мукачево,Кременчук-Пас.,,2026-09-24 01:10:25,2026-09-24 01:10:25,1,37,37,37,В дорозі,Висока,,0,0,0,0,,,first_seen,0
69/70|Перемишль|Кременчук-Пас.|@20260924-0110,69/70|Перемишль|Кременчук-Пас.|,69/70,,Перемишль,Кременчук-Пас.,,2026-09-24 01:10:25,2026-09-24 01:10:25,1,37,37,37,В дорозі,Висока,,0,0,0,0,,,first_seen,0
39/40|Солотвино-1|Запоріжжя-1|@20260924-0110,39/40|Солотвино-1|Запоріжжя-1|,39/40,,Солотвино-1,Запоріжжя-1,,2026-09-24 01:10:25,2026-09-24 01:10:25,1,36,36,36,В дорозі,Висока,,0,0,0,0,,,first_seen,0
103/104|Львів|Берестин|@20260924-0110,103/104|Львів|Берестин|,103/104,,Львів,Берестин,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,35,35,35,В дорозі,Висока,,0,0,0,0,,,first_seen,0
105/106|Київ-Пас.|Одеса-Головна|@20260924-0110,105/106|Київ-Пас.|Одеса-Головна|,105/106,,Київ-Пас.,Одеса-Головна,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,35,35,35,В дорозі,Висока,,0,0,0,0,,,first_seen,0
23/24|Київ-Пас.|Хелм|@20260924-0110,23/24|Київ-Пас.|Хелм|,23/24,,Київ-Пас.,Хелм,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,33,33,33,В дорозі,Висока,,0,0,0,0,,,first_seen,0
11/12|Львів|Одеса-Головна|@20260924-0110,11/12|Львів|Одеса-Головна|,11/12,,Львів,Одеса-Головна,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,33,33,33,В дорозі,Висока,,0,0,0,0,,,first_seen,0
35/36|Перемишль|Одеса-Головна|@20260924-0110,35/36|Перемишль|Одеса-Головна|,35/36,,Перемишль,Одеса-Головна,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,33,33,33,В дорозі,Висока,,0,0,0,0,,,first_seen,0
