snapshot_ts_kyiv,instance_id,trip_key,train_number,departure_date,station_from,station_to,delay_min,forecast_arrival,planned_arrival,status,reliability,reason,match_type,has_route,n_stops,passed_count,page_updated
2026-09-23 22:02:40,79/80|Львів|Дніпро-Головний|@20260923-2202,79/80|Львів|Дніпро-Головний|,79/80,,Львів,Дніпро-Головний,71,07:26,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,43/44|Черкаси|Івано-Франківськ|@20260923-2202,43/44|Черкаси|Івано-Франківськ|,43/44,,Черкаси,Івано-Франківськ,69,10:07,08:58,В дорозі,Висока,,transit,1,12,3,23 вересня 21:57
2026-09-23 22:02:40,791/792|Київ-Пас.|Кременчук-Пас.|@20260923-2202,791/792|Київ-Пас.|Кременчук-Пас.|,791/792,,Київ-Пас.,Кременчук-Пас.,65,23:47,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,789/790|Київ-Пас.|Кропивницький|@20260923-2202,789/790|Київ-Пас.|Кропивницький|,789/790,,Київ-Пас.,Кропивницький,65,23:20,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,9/10|Київ-Пас.|Будапешт-Келеті|@20260923-1807,9/10|Київ-Пас.|Будапешт-Келеті|,9/10,,Київ-Пас.,Будапешт-Келеті,60,00:50,23:50,В дорозі,Висока,,both,1,4,3,23 вересня 21:57
2026-09-23 22:02:40,119/120|Хелм|Дніпро-Головний|@20260923-2202,119/120|Хелм|Дніпро-Головний|,119/120,,Хелм,Дніпро-Головний,45,07:00,06:15,В дорозі,Висока,,both,1,15,7,23 вересня 21:57
2026-09-23 22:02:40,743/744|Львів|Дарниця|@20260923-2202,743/744|Львів|Дарниця|,743/744,,Львів,Дарниця,41,22:48,22:07,В дорозі,Висока,,both,1,5,3,23 вересня 21:57
2026-09-23 22:02:40,29/30|Київ-Пас.|Ужгород|@20260923-2202,29/30|Київ-Пас.|Ужгород|,29/30,,Київ-Пас.,Ужгород,39,08:29,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,27/28|Київ-Пас.|Чоп|@20260923-2202,27/28|Київ-Пас.|Чоп|,27/28,,Київ-Пас.,Чоп,39,08:25,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,59/60|Київ-Пас.|Чоп|@20260923-2202,59/60|Київ-Пас.|Чоп|,59/60,,Київ-Пас.,Чоп,37,13:28,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,57/58|Київ-Пас.|Ясіня|@20260923-2202,57/58|Київ-Пас.|Ясіня|,57/58,,Київ-Пас.,Ясіня,37,13:30,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,19/20|Київ-Пас.|Хелм|@20260923-2202,19/20|Київ-Пас.|Хелм|,19/20,,Київ-Пас.,Хелм,33,06:33,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,67/68|Київ-Пас.|Варшава Заходня|@20260923-2202,67/68|Київ-Пас.|Варшава Заходня|,67/68,,Київ-Пас.,Варшава Заходня,33,07:51,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,21/22|Львів|Харків-Пас.|@20260923-2202,21/22|Львів|Харків-Пас.|,21/22,,Львів,Харків-Пас.,32,07:03,06:31,В дорозі,Висока,,both,1,14,6,23 вересня 21:57
2026-09-23 22:02:40,109/110|Львів|Миколаїв Пас.|@20260923-2202,109/110|Львів|Миколаїв Пас.|,109/110,,Львів,Миколаїв Пас.,32,10:16,09:44,В дорозі,Висока,,both,1,25,9,23 вересня 21:57
2026-09-23 22:02:40,37/38|Одеса-Головна|Ужгород|@20260923-2202,37/38|Одеса-Головна|Ужгород|,37/38,,Одеса-Головна,Ужгород,23,12:36,12:13,В дорозі,Висока,,both,1,24,4,23 вересня 21:57
2026-09-23 22:02:40,773/774|Конотоп-Пас.|Жмеринка-Пас.|23.09@20260923-1807,773/774|Конотоп-Пас.|Жмеринка-Пас.|23.09,773/774,23.09,Конотоп-Пас.,Жмеринка-Пас.,20,23:36,23:16,В дорозі,Висока,,transit,1,18,13,23 вересня 21:57
